kriol	english
enbed	anthill
enbed	flat stone
enbeg	handbag
endap	conclude
endap	finish
endimap	conclude
endlim	cope
eni	any
enibodi	anybody
enijing	anything
enijing	baggage
enijing	possessions
enijing	belongings
enijing	swag
enikain	any kind
enikain	fish
enikain	generic
enikain	frog
enikain	bird
enimul	animal
enimul leidi	zookeeper
enimulen	zoo
enitaim	anytime
eniwan	anyone
eniwei	anyway
eniwei	randomly
eniweya	anywhere
enkiju	handkerchief
enpus	purse
ensa	answer
enseram	converse
enseram	discuss
enseram	respond
enserim	answer
enserim	reply
ensimbek	reply
ent	ant
enta	enter
epi	happy
epul	apple
eram	hear
eram	listen to
erambat	hear
eroplein	aeroplane
erradrom	aerodrome
erradrom	airport
erradrom	airstrip
erro	arrow
eshis	ashes
esid	acid
eya	air
eyastrip	airport
eyastrip	airstrip
faib	five
faibala	five
faidim	fight
faifaklok	five o’clock
failsinik	file snake
faindat	find out
faindim	birth
faindim	conceive
faindim	discover
faindim	find
faindim	look for
faindim	notice
faindim	see
fait	fight
faita	fighter
faiting	fight
faiya	fire
faiya	firewood
faiya	flame
faiya	light
faiyapleis	fireplace
faiyastik	firestick
faiyastik	fire
faiyastik	light
faiyastik	torch
faiyawud	firewood
falarimap	follow
falorum	follow
falorum	repeat
fam	farm
fama	farmer
fan	fake
fan	fun
fan	make-believe
fan	scorn
faniwan	funny
fans	dream
fas	fast
fas	quickly
faswan	fast
faswei	fast
fatha	father
fathawan	large
fathawan	male
fathawan	paternal
feibrit	favourite
feis	face
feis	etc.
feis	eye
feis	point
feis	seed
feisap	confront
fektri	factory
femili	family
femili	relatives
femilibaik	tandem bicycle
fens	fence
feri	fairy
fes	first
fes	etc.
fes	eye
fes	face
fes	point
fes	seed
festaim	before
festaim	in the past
fet	fat
fet	healthy
fetha	feather
fetinimap	fatten up
feya	fair
fid	feed
fid	meal
fidim	feed
fig	fig
figit	forget
figit	ignore
figitim	forget
fiksim	fix
fiksim	repair
filamekta	film star
filap	fill
filim	feel
filimap	fill
filimap	fill with
filimap	put in
filing	feeling
finga	finger
finga	hand
fingaboad	road sign
fingaboad	signpost
fis	fish
fish	fish
fish	generic
fishamen	fisherman
fishing	fishing
fishnet	fishnet
fishnet	fish net
fishskeil	fish scale
fishskeil	scale
fisin lain	fishing line
fiskimap	fix
fiskimap	repair
fit	appropriate
fit	fit
fit	throw a fit
fit	suitable
fitim	fit
fitim	make suitable
fladwoda	flood
flaiying	fly
flai	fly
flai	insect
flai	tarpaulin
flai	tent
flai	bees
flai	flies
flai	bee
flai	to fly
flain foks	flying fox
flaiwei	fly away
flawa	flour
flawa	flower
flayim	brush away
flayim	knock off
fleiba	tasty
flet	flat
flik	flashlight
flikim	flashlight
flikim	toss
floa	floor
flout	float
flu	flu
fo	about
fo	belong to
fo	for
fo	four
fo	of
foeva	forever
fog	fog
fog	dew
foget	forget
foget	lose
fogud	permanently
fogudwail	for a while
fok	crotch
foldan	fall
foldan	drop
foldan	throw
foldan	be born
foldan	fall down
